"id","namespace","path","english_name","korean_name","battle_category","battle_usable","tags","source_jars"
"adorn:cobblemon/apricorn_bench","adorn","cobblemon/apricorn_bench","","","unverified","false","adorn:benches","Cobblemon-neoforge-1.7.1+1.21.1.jar"
"adorn:cobblemon/apricorn_chair","adorn","cobblemon/apricorn_chair","","","unverified","false","adorn:chairs","Cobblemon-neoforge-1.7.1+1.21.1.jar"
"adorn:cobblemon/apricorn_coffee_table","adorn","cobblemon/apricorn_coffee_table","","","unverified","false","adorn:coffee_tables","Cobblemon-neoforge-1.7.1+1.21.1.jar"
"adorn:cobblemon/apricorn_drawer","adorn","cobblemon/apricorn_drawer","","","unverified","false","adorn:drawers","Cobblemon-neoforge-1.7.1+1.21.1.jar"
"adorn:cobblemon/apricorn_kitchen_counter","adorn","cobblemon/apricorn_kitchen_counter","","","unverified","false","adorn:kitchen_counters","Cobblemon-neoforge-1.7.1+1.21.1.jar"
"adorn:cobblemon/apricorn_kitchen_cupboard","adorn","cobblemon/apricorn_kitchen_cupboard","","","unverified","false","adorn:kitchen_cupboards","Cobblemon-neoforge-1.7.1+1.21.1.jar"
"adorn:cobblemon/apricorn_kitchen_sink","adorn","cobblemon/apricorn_kitchen_sink","","","unverified","false","adorn:kitchen_sinks","Cobblemon-neoforge-1.7.1+1.21.1.jar"
"adorn:cobblemon/apricorn_platform","adorn","cobblemon/apricorn_platform","","","unverified","false","adorn:wooden_platforms","Cobblemon-neoforge-1.7.1+1.21.1.jar"
"adorn:cobblemon/apricorn_post","adorn","cobblemon/apricorn_post","","","unverified","false","adorn:wooden_posts","Cobblemon-neoforge-1.7.1+1.21.1.jar"
"adorn:cobblemon/apricorn_shelf","adorn","cobblemon/apricorn_shelf","","","unverified","false","adorn:wooden_shelves","Cobblemon-neoforge-1.7.1+1.21.1.jar"
"adorn:cobblemon/apricorn_step","adorn","cobblemon/apricorn_step","","","unverified","false","adorn:wooden_steps","Cobblemon-neoforge-1.7.1+1.21.1.jar"
"adorn:cobblemon/apricorn_table","adorn","cobblemon/apricorn_table","","","unverified","false","adorn:tables","Cobblemon-neoforge-1.7.1+1.21.1.jar"
"another_furniture:acacia_bench","another_furniture","acacia_bench","","","unverified","false","another_furniture:benches","another_furniture-neoforge-4.0.2.jar"
"another_furniture:acacia_chair","another_furniture","acacia_chair","","","unverified","false","another_furniture:chairs","another_furniture-neoforge-4.0.2.jar"
"another_furniture:acacia_drawer","another_furniture","acacia_drawer","","","unverified","false","another_furniture:drawers","another_furniture-neoforge-4.0.2.jar"
"another_furniture:acacia_flower_box","another_furniture","acacia_flower_box","","","unverified","false","another_furniture:flower_boxes","another_furniture-neoforge-4.0.2.jar"
"another_furniture:acacia_grandfather_clock","another_furniture","acacia_grandfather_clock","","","unverified","false","another_furniture:grandfather_clocks","another_furniture-neoforge-4.0.2.jar"
"another_furniture:acacia_shelf","another_furniture","acacia_shelf","","","unverified","false","another_furniture:shelves","another_furniture-neoforge-4.0.2.jar"
"another_furniture:acacia_shutter","another_furniture","acacia_shutter","","","unverified","false","another_furniture:shutters","another_furniture-neoforge-4.0.2.jar"
"another_furniture:acacia_table","another_furniture","acacia_table","","","unverified","false","another_furniture:tables","another_furniture-neoforge-4.0.2.jar"
"another_furniture:bamboo_bench","another_furniture","bamboo_bench","","","unverified","false","another_furniture:benches","another_furniture-neoforge-4.0.2.jar"
"another_furniture:bamboo_chair","another_furniture","bamboo_chair","","","unverified","false","another_furniture:chairs","another_furniture-neoforge-4.0.2.jar"
"another_furniture:bamboo_drawer","another_furniture","bamboo_drawer","","","unverified","false","another_furniture:drawers","another_furniture-neoforge-4.0.2.jar"
"another_furniture:bamboo_flower_box","another_furniture","bamboo_flower_box","","","unverified","false","another_furniture:flower_boxes","another_furniture-neoforge-4.0.2.jar"
"another_furniture:bamboo_grandfather_clock","another_furniture","bamboo_grandfather_clock","","","unverified","false","another_furniture:grandfather_clocks","another_furniture-neoforge-4.0.2.jar"
