id,nameKo,nameEn,type,category,power,accuracy,priority,target,tags,tagLabels,lead,ace,setupSweeper,wall,pivot,hazardControl,revengeKiller,disruptor,support,descriptionKo,reason
10000000voltthunderbolt,1000만볼트,"10,000,000 Volt Thunderbolt",Electric,Special,195,필중,0,normal,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,3.2,1.5,0,0,0,0,0,0,모자를 쓴 피카츄가 Z파워로 파워업한 전격을 쏜다. 급소에 맞기 쉽다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
absorb,흡수,Absorb,Grass,Special,20,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,0.6,0.3,0,0,0,0,0,0,양분을 흡수하여 공격한다. 상대에게 입힌 데미지의 절반에 해당하는 HP를 회복할 수 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
accelerock,액셀록,Accelerock,Rock,Physical,40,100,1,normal,ACE_DAMAGE|ACE_COVERAGE|PRIORITY|FINISHER,에이스 주력 공격|에이스 견제폭|선공기|마무리,0,1.8,0.5,0,0,0,3.2,0,0,재빠른 스피드로 상대에게 부딪쳐서 공격한다. 반드시 선제공격할 수 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 선공기라 복수 처리와 마무리 가치가 큽니다.
acid,용해액,Acid,Poison,Special,40,100,0,allAdjacentFoes,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1,0.5,0,0,0,0,0,0,강한 산을 상대에게 끼얹어 공격한다. 상대의 특수방어를 떨어뜨릴 때가 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
acidarmor,녹기,Acid Armor,Poison,Status,,필중,0,self,,,0,0,0,0,0,0,0,0,0.8,세포의 변화로 액체가 되어 자신의 방어를 크게 올린다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
aciddownpour,애시드포이즌딜리트,Acid Downpour,Poison,Physical,1,필중,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,0.3,0,0,0,0,0,0,0,Z파워로 독의 늪을 만들어 전력으로 상대를 가라앉힌다. 원래 기술에 따라 위력이 변한다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
acidspray,애시드봄,Acid Spray,Poison,Special,40,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1,0.5,0,0,0,0,0,0,상대를 녹이는 액체를 토해내서 공격한다. 상대의 특수방어를 크게 떨어뜨린다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
acrobatics,애크러뱃,Acrobatics,Flying,Physical,55,100,0,any,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.2,0.7,0,0,0,0,0,0,경쾌하게 상대를 공격한다. 자신이 도구를 지니고 있지 않을 때 큰 데미지를 준다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
acupressure,경혈찌르기,Acupressure,Normal,Status,,필중,0,adjacentAllyOrSelf,,,0,0,0,0,0,0,0,0,0.8,경혈을 눌러 몸을 활성화시킨다. 능력 중 하나를 크게 올린다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
aerialace,제비반환,Aerial Ace,Flying,Physical,60,필중,0,any,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.3,0.8,0,0,0,0,0,0,재빠른 움직임으로 상대를 농락해 벤다. 공격은 반드시 명중한다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
